Subject,Condition,ConsistentAxis,AxisChoice,ChoiceDetailed,ConsistentAxialDirection,AxialDirectionDetailed,AxialDirectionHorizontal,AxialDirectionVertical,ConsistentRoundDirection,RoundDirectionDetailed,SameAxis
S35,V,no,NA,round,NA,NA,NA,NA,no,NA,no
S36,N,no,NA,round,NA,NA,NA,NA,no,NA,no
S36,T,no,NA,round,NA,NA,NA,NA,yes,CCW,no
S36,V,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S37,N,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S37,Q,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S37,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S38,N,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,yes
S38,Q,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,yes
S39,N,no,NA,round,NA,NA,NA,NA,yes,NA,no
S39,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S39,T,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S39,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S4,N,no,NA,round,NA,NA,NA,NA,no,NA,no
S4,Q,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S4,T,no,NA,round,NA,NA,NA,NA,no,NA,no
S4,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S40,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S40,Q,no,NA,round,NA,NA,NA,NA,yes,CW,no
S40,V,no,NA,round,NA,NA,NA,NA,yes,CCW,no
S41,Q,yes,diagonal,diagonal,no,NA,NA,NA,NA,NA,no
S41,T,no,diagonal,predominantly_diagonal,NA,NA,NA,NA,NA,NA,no
S41,V,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S42,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S42,T,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S42,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S43,N,no,NA,round,NA,NA,NA,NA,no,NA,no
S43,Q,no,NA,round,NA,NA,NA,NA,no,NA,no
S43,T,no,NA,round,NA,NA,NA,NA,no,NA,no
S44,N,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S44,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S44,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S45,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S45,T,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S45,V,no,NA,round,NA,NA,NA,NA,no,NA,no
S46,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S46,T,no,NA,round,NA,NA,NA,NA,no,NA,no
S46,V,no,vertical,predominantly_vertical,NA,NA,NA,NA,NA,NA,no
S47,Q,no,vertical,predominantly_vertical,NA,NA,NA,NA,NA,NA,yes
S47,T,yes,vertical,vertical,yes,up-to-down,NA,up-to-down,NA,NA,yes
S47,V,no,vertical,predominantly_vertical,NA,NA,NA,NA,NA,NA,yes
S48,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S48,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S48,T,yes,NA,round,NA,NA,NA,NA,yes,CCW,no
S48,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S49,N,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S49,T,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S49,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S5,N,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S5,T,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S5,V,yes,vertical,vertical,yes,up-to-down,NA,up-to-down,NA,NA,no
S50,N,no,NA,round,NA,NA,NA,NA,no,NA,no
S50,Q,yes,horizontal,horizontal,yes,right-to-left,right-to-left,NA,NA,NA,no
S50,V,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S51,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S51,T,no,NA,round,NA,NA,NA,NA,yes,CW,no
S51,V,no,NA,round,NA,NA,NA,NA,yes,CW,no
S52,N,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S52,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S52,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S53,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S53,T,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S53,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S54,T,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S54,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S55,Q,no,vertical,predominantly_vertical,NA,NA,NA,NA,NA,NA,no
S55,T,no,NA,round,NA,NA,NA,NA,no,NA,no
S55,V,no,NA,round,NA,NA,NA,NA,no,NA,no
S56,N,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S56,T,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S56,V,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
